,ID,incidence,product_cat,product_cat1,product_cat2,brand_1,brand_2,brand_3,quant_1,quant_2,quant_3,total_quantity,item_price_1,item_price_2,item_price_3,total price,creation_hour,creation_week,creation_day,dest_long,dest_lat,zip_code,population_denisty,median_household_income,sex,distance,DOB_year,age,Settlement_size,Labels,Segment K-means PCA,creation_time
1248,P11194037,0,Edibles,Edibles,Edibles,Wicked Sour,Wicked Sour,Betty's Eddies,1,1,1,3,60.0,30.0,20.0,210.01,9,10,5,-71.0560203,42.3044677,2122.0,11554.0,50192.0,1.0,1.8666,1968.0,54.0,1.0,Well-Off,1.0,2021-03-12
1249,P11209753,1,Vapes,Vapes,Vapes,Origyn,Origyn,Entourage,1,1,1,3,60.0,65.0,40.0,215.00,19,10,5,-71.0669782,42.3136167,2125.0,15611.0,45130.0,0.0,5.4754,1969.0,53.0,1.0,Well-Off,1.0,2021-03-12
1250,P11209528,1,Flower,No info,No info,Jimmy's Choice,Mayflower (MA),Mayflower (MA),2,1,1,4,140.0,49.5,49.5,239.00,12,10,5,-71.0287673,42.3904165,2150.0,15907.0,47291.0,0.0,6.8851,1989.0,33.0,1.0,Well-Off,1.0,2021-03-12
1251,P11184886,1,No info,No info,No info,Cresco ,Root 90,Gibby's Garden,1,1,1,3,49.5,49.5,49.5,247.50,13,10,5,-70.995883,42.247175,2169.0,6137.0,58669.0,0.0,4.2845,1979.0,43.0,2.0,Well-Off,1.0,2021-03-12
1252,P11022252,1,Flower,Flower,Edibles,Origyn,Nantucket Nuggets,Central Ave Compassionate Care,1,1,1,3,70.0,70.0,15.0,155.00,17,10,5,-71.025089,42.272966,2171.0,7215.0,64812.0,0.0,5.2561,1975.0,47.0,0.0,Well-Off,1.0,2021-03-12
1253,P11183499,1,Edibles,Edibles,Vapes,Entourage,Wicked Sour,Entourage,1,1,1,3,60.0,30.0,55.0,245.01,17,10,5,-71.0123012,42.3850874,2128.0,8352.0,48704.0,0.0,4.9983,1981.0,41.0,2.0,Well-Off,1.0,2021-03-12
1254,P11068773,1,No info,No info,No info,Gibby's Garden,Mayflower (MA),Resinate,1,1,1,3,49.5,49.5,49.5,247.50,16,10,5,-70.964238,42.211581,2188.0,3928.0,68366.0,1.0,5.5773,1980.0,42.0,0.0,Working Professional,0.0,2021-03-12
1255,P11081171,1,Edibles,No info,No info,Sira Naturals Premium,,,2,0,0,2,280.0,0.0,0.0,280.00,18,10,5,-71.073164,42.370067,2141.0,18612.0,64326.0,0.0,6.8132,1984.0,38.0,0.0,Well-Off,1.0,2021-03-12
1256,P11180961,1,Vapes,Vapes,Merchandise,Middlesex Integrative Medicine,Northeast Alternatives,Bic,1,1,1,3,60.0,55.0,1.87,390.49,14,10,5,-71.032541,42.366727,2128.0,8352.0,48704.0,1.0,3.8939,1991.0,31.0,2.0,Well-Off,1.0,2021-03-12
1257,11173444,1,Flower,Vapes,No info,Cresco ,Northeast Alternatives,,2,2,0,4,110.0,120.0,0.0,230.00,14,10,5,-71.066247,42.3603064,2114.0,26694.0,80500.0,0.0,2.9485,1989.0,33.0,0.0,Well-Off,1.0,2021-03-12
1258,P1119494978,1,Flower,No info,Flower,,Root 90,Sira Naturals,1,1,1,3,55.0,49.5,70.0,696.00,16,10,5,-70.908326,42.097115,2370.0,1696.0,66329.0,0.0,15.92,1984.0,38.0,0.0,Working Professional,0.0,2021-03-12
1259,P11091478,1,No info,No info,No info,Cresco ,Root 90,Root 90,1,1,1,3,63.0,49.5,49.5,261.00,8,10,6,-71.105267,42.121333,2072.0,1678.0,74262.0,0.0,21.577,1988.0,34.0,1.0,Working Professional,0.0,2021-03-13
1260,11171049,1,Concentrate,Concentrate,Concentrate,Berkshire Roots,253,253,1,1,1,3,60.0,60.0,35.0,155.00,8,10,6,-71.054901,42.334897,2127.0,15744.0,68724.0,0.0,5.7187,1992.0,30.0,1.0,Well-Off,1.0,2021-03-13
1261,P11088692,1,No info,No info,No info,Origyn,Root 90,253,1,1,1,3,49.5,49.5,49.5,163.50,8,10,6,-71.105267,42.121333,2072.0,1678.0,74262.0,1.0,0.013057,1983.0,39.0,1.0,Working Professional,0.0,2021-03-13
1262,p11183960,1,Pre-rolls,Flower,No info,Central Ave Compassionate Care,Sira Naturals Top-Shelf,Sira Naturals Premium,2,1,1,4,50.0,50.0,45.0,180.00,19,10,5,-71.088396,42.345427,2115.0,40159.0,27134.0,0.0,3.9751,1991.0,31.0,1.0,Well-Off,1.0,2021-03-12
1263,P11073395,1,Vapes,Flower,Concentrate,Sira Naturals Reserve,Entourage,Origyn,1,1,1,3,65.0,65.0,60.0,190.00,12,10,5,-71.160221,42.376847,2478.0,5308.0,110633.0,0.0,7.2484,1977.0,45.0,1.0,Standard,2.0,2021-03-12
1264,P11199962,1,Vapes,Vapes,Concentrate,Origyn,253,Cresco ,1,1,1,3,55.0,60.0,55.0,380.00,11,10,5,-71.153329,42.350605,2135.0,16236.0,48687.0,1.0,10.515,1981.0,41.0,2.0,Well-Off,1.0,2021-03-12
1265,p11088972,1,Edibles,Edibles,Concentrate,Nantucket Nuggets,Wicked Sour,Double Baked,1,1,2,4,60.0,30.0,60.0,207.24,18,10,5,-71.4206945,42.2591036,1702.0,4598.0,53944.0,1.0,38.446,1973.0,49.0,1.0,Working Professional,0.0,2021-03-12
1266,p11068785,1,Flower,No info,No info,Sira Naturals Prerolls,,,3,0,0,3,210.0,0.0,0.0,210.00,8,10,5,-71.1326784,42.3853811,2138.0,13251.0,75446.0,1.0,3.5256,1968.0,54.0,1.0,Well-Off,1.0,2021-03-12
1267,P11026397,0,Vapes,Vapes,No info,Gibby's Garden,Northeast Alternatives,,5,1,0,6,275.0,55.0,0.0,330.00,8,10,5,-71.1066247,42.3924002,2144.0,22082.0,78380.0,0.0,2.9183,1989.0,33.0,1.0,Well-Off,1.0,2021-03-12
1268,P11157984,1,Edibles,Edibles,Vapes,Incredibles,Wicked Sour,253,2,2,1,5,120.0,60.0,60.0,240.02,13,10,5,-71.3451828,42.3287844,1778.0,862.0,130022.0,0.0,14.064,1971.0,51.0,0.0,Standard,2.0,2021-03-12
1269,p11178751,1,Concentrate,Concentrate,Concentrate,Patriot Care,Middlesex Integrative Medicine,Rythm,1,1,1,3,60.0,60.0,80.0,200.00,8,10,6,-71.203229,42.349961,2460.0,6504.0,102276.0,1.0,4.2639,1938.0,84.0,0.0,Standard,2.0,2021-03-13
1270,P11050044,1,No info,Pre-rolls,Edibles,612 Studios,Sira Naturals,Chroma,1,1,1,3,49.5,25.0,90.0,214.00,14,10,5,-71.239556,42.369061,2453.0,8279.0,67382.0,0.0,12.426,1970.0,52.0,1.0,Standard,2.0,2021-03-12
1271,P11179446,1,No info,No info,No info,Sira Naturals,,,4,0,0,4,216.0,0.0,0.0,216.00,8,10,6,-71.191352,42.369523,2472.0,7942.0,87775.0,0.0,4.0993,1989.0,33.0,1.0,Standard,2.0,2021-03-13
1272,C11048969,1,Vapes,Edibles,Vapes,Airis,Curaleaf,Cresco ,5,1,1,7,275.0,50.0,70.0,395.00,13,10,5,-71.1768321,42.3686196,2472.0,7942.0,87775.0,1.0,1.9506,1980.0,42.0,1.0,Standard,2.0,2021-03-12
1273,P11197224,1,Vapes,No info,No info,Resinate,,,3,0,0,3,300.0,0.0,0.0,300.00,8,10,6,-71.0829234,42.3041609,2121.0,14884.0,28238.0,1.0,20.426,1974.0,48.0,1.0,Working Professional,0.0,2021-03-13
1274,P11194037,1,No info,No info,No info,Sira Naturals,,,0,0,0,0,0.0,0.0,0.0,,12,10,6,-71.083696,42.335772,2120.0,24456.0,35077.0,1.0,4.3399,1968.0,54.0,0.0,Well-Off,1.0,2021-03-13
1275,p11085379,1,No info,No info,No info,Entourage,Mayflower (MA),Patriot Care,1,1,1,3,70.0,49.5,99.0,338.50,8,10,7,-71.112991,42.398116,2144.0,22082.0,78380.0,0.0,1.3857,1973.0,49.0,1.0,Well-Off,1.0,2021-03-14
